animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment,probe_orientation,sleep_state,pixel_size
642422,04-0776,67850949,Male,Tgif1,P56,coronal,ISH,2,Nothing,1.049
70404811,05-2355,71153425,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
73440263,05-3554,74331181,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71392940,05-3080,72598986,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
73568155,05-3627,74425553,Male,Amot,P56,coronal,ISH,2,Nothing,1.049
71993663,05-3320,73930821,Male,Kalrn,P56,coronal,ISH,2,Nothing,1.049
70404811,05-2355,71064080,Male,Rfk,P56,coronal,ISH,2,Nothing,1.049
71061925,05-2819,71836847,Male,Cyp39a1,P56,coronal,ISH,2,Nothing,1.049
74865233,06-0327,75077262,Male,Hdac7,P56,coronal,ISH,2,Nothing,1.049
104509,04-0354,71836293,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
73633987,05-3714,74581395,Male,Hpcal1,P56,coronal,ISH,2,Nothing,1.049
74357307,06-0121,74661268,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
72498,04-0145,227160,Male,Sc5d,P56,coronal,ISH,2,Nothing,1.049
74625720,06-0228,74881156,Male,Epdr1,P56,coronal,ISH,2,Nothing,1.049
77415309,321-0158,77725097,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
79355679,335-1139,79591685,Male,Slc6a1,P56,coronal,ISH,2,Nothing,1.049
702863,2428,2485,Male,Plg,P56,coronal,ISH,2,Nothing,1.63
72967192,05-3497,74261287,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71444954,05-3141,73635773,Male,Stk24,P56,coronal,ISH,2,Nothing,1.049
75819045,06-0707,76156451,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
702865,2430,2153,Male,Dnajb12,P56,coronal,ISH,2,Nothing,1.63
79355608,335-1132,79645535,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
69482179,05-1436,69977039,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
77799956,321-0496,78544981,Male,Cacna2d1,P56,coronal,ISH,2,Nothing,1.049
73425200,05-3523,74357565,Male,Mum1l1,P56,coronal,ISH,2,Nothing,1.049
71167204,05-2897,72007562,Male,Manba,P56,coronal,ISH,2,Nothing,1.049
69778871,05-1805,70428262,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
702622,2103,823,Male,Pmaip1,P56,coronal,ISH,2,Nothing,1.63
70379864,05-2293,71028728,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71444918,05-3125,73592530,Male,Igfbp5,P56,coronal,ISH,2,Nothing,1.049
71282066,05-2994,72103701,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
75064248,06-0438,75643601,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
74481125,06-0161,74724763,Male,Id3,P56,coronal,ISH,2,Nothing,1.049
79355487,335-1124,79556708,Male,Htr2b,P56,coronal,ISH,2,Nothing,1.049
72147861,05-3404,74047843,Male,Tfap2c,P56,coronal,ISH,2,Nothing,1.049
74510869,06-0189,74750450,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
72974492,05-3496,74261351,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
70013602,05-2018,70616004,Male,Abcd2,P56,coronal,ISH,2,Nothing,1.049
71444845,05-3136,73615804,Male,Pgr15l,P56,coronal,ISH,2,Nothing,1.049
74741232,06-0283,74988325,Male,Rtl1,P56,coronal,ISH,2,Nothing,1.049
77238067,07-0018,77393640,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
77294080,07-0037,77414915,Male,Plcd3,P56,coronal,ISH,2,Nothing,1.049
71478345,05-3180,73636111,Male,Scn4b,P56,coronal,ISH,2,Nothing,1.049
77440648,321-0022,77790677,Female,Nos1,P56,coronal,ISH,2,Nothing,1.049
71250808,05-2983,72128754,Male,Slc22a23,P56,coronal,ISH,2,Nothing,1.049
77207549,311-0554,77605774,Male,Vwf,P56,coronal,ISH,2,RS-C,1.049
71203618,05-2945,72080175,Male,Trnp1,P56,coronal,ISH,2,Nothing,1.049
71637855,05-3221,73773184,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71478353,05-3184,73718049,Male,Elmo3,P56,coronal,ISH,2,Nothing,1.049
73806591,06-0003,74641316,Male,Avpr1a,P56,coronal,ISH,2,Nothing,1.049
78084741,321-0724,78591334,Male,Calb1,P56,coronal,ISH,2,Nothing,1.049
70091628,05-2115,70744518,Male,Sdcbp,P56,coronal,ISH,2,Nothing,1.049
80007249,321-1593,80389648,Male,Wfs1,P56,coronal,ISH,2,Nothing,1.049
77238043,07-0012,77359031,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
70404787,05-2343,71063725,Male,Sez6,P56,coronal,ISH,2,Nothing,1.049
70379896,05-2303,71029947,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
72135230,05-3392,74029416,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
74373808,06-0140,74693487,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
70897038,05-2658,71670711,Male,Tmem163,P56,coronal,ISH,2,Nothing,1.049
693396,04-0808,72204742,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
79355507,335-1129,79568049,Male,Dpp4,P56,coronal,ISH,2,Nothing,1.049
75448857,06-0608,76115736,Male,Nin,P56,coronal,ISH,2,Nothing,1.049
104541,04-0362,70902366,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71887442,05-3275,73817930,Male,Gyg,P56,coronal,ISH,2,Nothing,1.049
77232675,07-0001,77278951,Male,Gsta4,P56,coronal,ISH,2,Nothing,1.049
74785062,06-0293,74988591,Male,Gramd3,P56,coronal,ISH,2,Nothing,1.049
77415337,321-0165,79748516,Male,Rprm,P56,coronal,ISH,2,Nothing,1.049
75037027,06-0403,75147761,Male,Igsf9b,P56,coronal,ISH,2,Nothing,1.049
71227906,05-2962,72081547,Male,Prrt3,P56,coronal,ISH,2,Nothing,1.049
70230607,05-2223,70928395,Male,Rps12,P56,coronal,ISH,2,Nothing,1.049
74657126,06-0250,74881537,Male,Arhgef5,P56,coronal,ISH,2,Nothing,1.049
70145683,05-2184,70832359,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
77407903,321-0140,79746112,Male,Etv1,P56,coronal,ISH,2,Nothing,1.049
73425096,05-3512,74318812,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71282188,05-3012,72283811,Male,Fst,P56,coronal,ISH,2,Nothing,1.049
70780158,05-2574,71474339,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
70101644,05-2127,70813908,Male,Spint1,P56,coronal,ISH,2,Nothing,1.049
74495210,06-0178,74750013,Male,Galntl6,P56,coronal,ISH,2,Nothing,1.049
74833938,06-0305,75038443,Male,St18,P56,coronal,ISH,2,Nothing,1.049
71903128,05-3293,73907505,Male,Ostf1,P56,coronal,ISH,2,Nothing,1.049
71393066,05-3093,73469808,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
73425187,05-3521,74357560,Male,Rps15a,P56,coronal,ISH,2,Nothing,1.049
382822,04-0668,72082389,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
392888,04-0673,73439713,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71393066,05-3093,73512366,Male,Arhgap31,P56,coronal,ISH,2,Nothing,1.049
73620033,05-3679,74511885,Male,Wif1,P56,coronal,ISH,2,Nothing,1.049
72962232,05-3486,74047922,Male,Ogfod1,P56,coronal,ISH,2,Nothing,1.049
75037204,06-0406,75277134,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
101223,04-0280,70807175,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
73633956,05-3709,74581371,Male,LOC434002,P56,coronal,ISH,2,Nothing,1.049
